scenario,label
"Alice's phone suddenly loses service. When she contacts her mobile service provider, she finds out that her SIM card was replaced by someone who pretended to be her, gaining control of her phone number and access to her online accounts.",1
"Ben receives an email that seems to be from his mobile service provider, stating that his SIM card needs to be replaced due to a technical upgrade. The email includes a link to confirm his identity, which leads to a phishing site asking for his personal information.",1
Clara finds out that her SIM card was replaced after an insider at her mobile service provider was bribed to perform the swap. This allowed scammers to take control of her phone number and access her online accounts through two-factor authentication (2FA).,1
"David's SIM card is swapped by scammers who had gathered his personal information from various sources. They used this information to convince his mobile service provider to issue a new SIM card in their favor, gaining control of his phone number.",1
Emma receives a call from someone pretending to be from her mobile service provider. The caller claims that her SIM card needs to be replaced and asks for her account details to complete the process. The information is then used to initiate a SIM swap.,1
"Frank's mobile service provider receives a request to replace his SIM card, along with forged documents. The scammers used this method to gain control of his phone number, allowing them to intercept his two-factor authentication codes and access his online accounts.",1
"Grace's social media account is hacked, allowing the scammers to collect enough personal information to request a SIM swap. They use this access to attempt unauthorized transactions on her bank account.",1
"Henry visits a phishing website that mimics his mobile service provider's login page. After entering his credentials, scammers use this information to request a SIM swap, gaining control of his phone number and disrupting his online accounts.",1
Irene discovers that her SIM card was swapped after a scammer bribed an employee at her mobile service provider. This insider collusion allowed the scammers to take control of her phone number and attempt fraudulent activities with her online accounts.,1
"Jack's mobile service provider sent him a replacement SIM card, but it was intercepted and stolen by scammers. They then used the new SIM card to gain control of his phone number, potentially compromising his online accounts.",1
A scammer contacts your mobile service provider posing as you and convinces them to deactivate your current SIM card and activate a new one under their control.,1
Fraudsters gather personal information about you from social media or other sources and use it to impersonate you when requesting a SIM card replacement from your mobile service provider.,1
A hacker gains access to your mobile service provider's systems and initiates a SIM swap without your knowledge or consent.,1
"Scammers deceive you into providing sensitive information over the phone, claiming to be conducting a survey or offering a prize, and then use that information to request a SIM swap.",1
"A fraudulent website tricks you into entering your mobile number and other personal details, which are then used to request a SIM card replacement from your mobile service provider.",1
"A scammer steals your identity and uses forged documents to request a SIM card replacement from your mobile service provider, claiming that your phone was lost or stolen.",1
"You receive a phishing email or text message that appears to be from your mobile service provider, asking you to click on a link to verify your account information, leading to a SIM swap.",1
A scammer bribes an insider at your mobile service provider to initiate a SIM swap without proper authorization or verification.,1
"Fraudsters intercept your mail and steal the SIM card replacement sent by your mobile service provider, allowing them to take control of your phone number.",1
"A malicious app installed on your phone collects information about you, including your mobile number and account details, which are then used to request a SIM swap.",1
